CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U68200TN2023OPC162651,KALLANAI ENTERPRISES (OPC) PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,One Person Company,1000000,100000,09-08-2023,"G6,MAJESTIC APPARTMENT,PERUMALPURAM,PALAYAMKOTTA,Palayamkottai,Tirunelveli,Tamil Nadu,627007-India",Unlisted,Active,tamil nadu,Indian,68200,Real Estate and Renting
U68200TN2023PTC163150,ARMOR VENTURES INDIA PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,100000,100000,25-08-2023,"5/13A, Kesavaperumalpuram North Avenue,,R.A. Puram,,Chennai City Corporation,Chennai,Tamil Nadu,600028-India",Unlisted,Active,tamil nadu,Indian,68200,Real Estate and Renting
U68200TN2024PTC171636,LAKSHVITH DEVELOPERS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1000000,100000,03-07-2024,"NO.60,2ND FLOOR,SUBBARAYA,REDDIAR RADHAMMAL PLAZA,Uttukottai,Tiruvallur,Tamil Nadu,602026-India",Unlisted,Active,tamil nadu,Indian,68200,Real Estate and Renting
U68200TN2024PTC172638,M2CS TECHNOLOGIES PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,100000,100000,09-08-2024,"NO.7/6, IfB,SAMBANTHAM STREET,Chennai,Chennai,Tamil Nadu,600017-India",Unlisted,Active,tamil nadu,Indian,68200,Real Estate and Renting
U15123TN2022PTC154225,YHATIKS FOODS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1500000,100000,26-07-2022,"No.64, Vembakkottai Road   Sattur,Sattur,Virudhunagar,Tamil Nadu,626203-India",Unlisted,Active,tamil nadu,Indian,15123,Manufacturing (Food stuffs)
U15134TN2022PTC153714,DANDHFOODS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,100000,10000,08-07-2022,"No 24, Rajini Nagar, Mugalivakkam Main   Road, Madanandapuram,Chennai,Kancheepuram,Tamil Nadu,600125-India",Unlisted,Active,tamil nadu,Indian,15134,Manufacturing (Food stuffs)
U82990TN2024PTC171310,SWINGFORCE LOGISTICS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,100000,10000,24-06-2024,"1212A/893A, 27th St,,BV Colony, Vyasarpadi,Ambattur,Tiruvallur,Tamil Nadu,600058-India",Unlisted,Active,tamil nadu,Indian,82990,"Community, personal and Social Services"
U82990TN2024PTC172938,STAIRS7 SOLUTIONS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1500000,400000,27-08-2024,"1088, Mariamman Koil St.,Melkeerapalayam,Chidambaram,Cuddalore,Tamil Nadu,608602-India",Unlisted,Active,tamil nadu,Indian,82990,"Community, personal and Social Services"
U85110TN2020PTC137446,REVAT DIGIHEALTH PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1000000,100000,26-08-2020,"1-C,  7 CANAL BANK ROAD   R A PURAM,CHENNAI,Chennai,Tamil Nadu,600028-India",Unlisted,Active,tamil nadu,Indian,85110,"Community, personal and Social Services"
U85110TN2022PTC153660,SRM GLOBAL HOSPITALS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1500000,100000,06-07-2022,"No. 24, G N CHETTY ROAD   T NAGAR,Chennai,Chennai,Tamil Nadu,600017-India",Unlisted,Active,tamil nadu,Indian,85110,"Community, personal and Social Services"
U85200TN2021PTC144398,SN PAEDIATRIC HEALTHCARE PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1500000,100000,29-06-2021,"HIG 39, ERI SCHEME, J.J.NAGAR WEST,CHENNAI,Thiruvallur,Tamil Nadu,600037-India",Unlisted,Active,tamil nadu,Indian,85200,"Community, personal and Social Services"
U85221TN2024PTC172516,WOZOGA ENTERPRISES PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,100000,10000,06-08-2024,"NO.18, 5TH STREET RAJIV,GANDHI NAGAR PUDUR,,Ambattur,Tiruvallur,Tamil Nadu,600053-India",Unlisted,Active,tamil nadu,Indian,85221,"Community, personal and Social Services"
U17299TN2022PTC154146,GOALWIN INDIA PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1500000,100000,21-07-2022,"No.43 & 44, Sri Nagar,Pillaiyarpatti, Vallam,Thanjavur,Thanjavur,Tamil Nadu,613403-India",Unlisted,Active,tamil nadu,Indian,17299,Manufacturing (Textiles)
