CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U80904TS2020PTC179943,PEOPLE COMBINE BASICS PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,750000000,610000000,25-06-2020,"Plot No.99, Road No.72,,Jubilee Hills Co-operative Society, Jubilee Hills,,Shaikpet,Hyderabad,Telangana,500033-India",Unlisted,Active,telangana,Indian,80904,"Community, personal and Social Services"
U82199TS2023PTC174553,KEERTHANA MARKETING SERVICES PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,1000000,100000,03-07-2023,"Plot No.45, 1st Floor,,Prabhu Nilayam,Secunderabad,Hyderabad,Telangana,500026-India",Unlisted,Active,telangana,Indian,82199,"Community, personal and Social Services"
U25111TS2023PTC174645,SRI VENKATESHWARA UPVC PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,100000,100000,07-07-2023,"H.No. 7-81/6, S.No.334,Bollaram Road,Qutubullapur,K.V.Rangareddy,Telangana,500090-India",Unlisted,Active,telangana,Indian,25111,Manufacturing (Machinery and Equipments)
U25209TG2020PTC140744,SRI SAI RAM POLYMERS PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,1000000,1000000,10-06-2020,"Plot No.189/B, H NO.4-32-337,Sri Lakshmi   Nilayam, HMT Society, Shapur Nagar,,Hyderabad,Rangareddi,Telangana,500055-India",Unlisted,Active,telangana,Indian,25209,"Manufacturing (Metals and Chemicals, and products thereof)"
U25209TG2022PTC165367,MASTERPIECE ECO MANUFACTURERS AND TRADERS PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,100000,100000,02-08-2022,"MY HOME ABHRA APARTMENTS, A BLOCK,   FLAT NO 201, MADHAPUR ROAD, HITECH CITY,HYDERABAD,Hyderabad,Telangana,500081-India",Unlisted,Active,telangana,Indian,25209,"Manufacturing (Metals and Chemicals, and products thereof)"
U26104TS2023PTC176409,AUROBINDO DEFENCE SYSTEMS PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,1500000,100000,23-08-2023,"H.No.1-6-113, Plot No.113,Anupuram, Kapra,Secunderabad,Hyderabad,Telangana,500062-India",Unlisted,Active,telangana,Indian,26104,Manufacturing (Machinery and Equipments)
U26517TS2024PTC186677,NEXSYS PROCESS AUTOMATIONS PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,200000,100000,19-06-2024,"7th Floor, Pardha Picasa,Pl No.8, Durgam Cheruvus,Serilingampally,K.V.Rangareddy,Telangana,500084-India",Unlisted,Active,telangana,Indian,26517,Manufacturing (Machinery and Equipments)
U26920TG2020PTC141503,PROTOG INDUSTRIES PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,100000,100000,08-07-2020,"PLOT NO.589, FLAT NO 401,4TH FLOOR,   KRISHNA SOUDHA,MATRUSREE NAGAR, MIYAPUR,HYDERABAD,Rangareddi,Telangana,500049-India",Unlisted,Active,telangana,Indian,26920,"Manufacturing (Metals and Chemicals, and products thereof)"
U51909TG2020PTC141266,NAKUL AGRITECH INDIA PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,1000000,200000,30-06-2020,"H. No 2-4-123/46   SWAROOP NAGAR, UPPAL,HYDERABAD,Rangareddi,Telangana,500039-India",Unlisted,Active,telangana,Indian,51909,Trading
U51909TG2020PTC141722,MANSPANDANA SUPERMART PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,1500000,500000,14-07-2020,"# 17-1-383/99/A & B, Vinaynagar   Chanchalguda,Hyderabad,Hyderabad,Telangana,500036-India",Unlisted,Strike Off,telangana,Indian,51909,Trading
