CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U72200KA2022PTC165527,SANATANAPP PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,100000,29-08-2022,"No. 57, 3rd Cross, 4th Floor, Lalbagh Road,Bangalore South,Bangalore,Karnataka,560027-India",Unlisted,Active,karnataka,Indian,72200,Business Services
U80301KA2020NPL135327,GOZE FOUNDATION,ROC Bangalore,Company limited by shares,Non-government company,Private,1500000,100000,28-06-2020,"Flat No. 2081, Tower 2,   Prestige White Meadows, Whitefield,Bangalore,Bangalore,Karnataka,560066-India",Unlisted,Active,karnataka,Indian,80301,"Community, personal and Social Services"
U80301KA2020PTC137511,SCADOOSH LABS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,1000000,21-08-2020,"A208 Sai Raghavendra White Midas   72 ECC road Pattandur Agrahara,Bangalore,Bangalore,Karnataka,560066-India",Unlisted,Active,karnataka,Indian,80301,"Community, personal and Social Services"
U74140KA2020PTC134649,NIVAS TECH GLOBAL SOLUTION PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,100000,06-06-2020,"No. 799, 1st Floor, 19th main   Sector 2, HSR Layout,Bengaluru,Bangalore,Karnataka,560102-India",Unlisted,Strike Off,karnataka,Indian,74140,Business Services
U74140KA2020PTC136245,SHAMI TREE BUSINESS ADVISORS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,100000,10000,20-07-2020,"No 24(old No 754), 1st floor, 2nd block.,near panchamuki ganapathi temple,Bangalore North,Bangalore,Karnataka,560086-India",Unlisted,Active,karnataka,Indian,74140,Business Services
U80301KA2022PTC164060,ARYAMITHA EDU SERVICE PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,100000,100000,20-07-2022,"C/O80 3rdM.R 5th CR. BEML LAYOUT BASAVES   -HWARA NAGAR LD.M. NEAR VEERABADRA TH.,BANGLORE,Bangalore,Karnataka,560079-India",Unlisted,Active,karnataka,Indian,80301,"Community, personal and Social Services"
U80301KA2022PTC165502,PHARMADOTS EDUTECH PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1500000,100000,29-08-2022,"1703 TOWER 2, PURVA SKYDALE   SILVER COUNTY ROAD,BANGALORE,Bangalore,Karnataka,560068-India",Unlisted,Active,karnataka,Indian,80301,"Community, personal and Social Services"
U80301KA2022PTC165543,INTRNFORTE PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,200000,30-08-2022,"E1,501, SNN RAJ   GREENBAY,ELECTRONIC CITY PHASE 2,BANGALORE,Bangalore,Karnataka,560100-India",Unlisted,Active,karnataka,Indian,80301,"Community, personal and Social Services"
U74140KA2022PTC163063,KAUNSERRU PARTNERRS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1500000,100000,28-06-2022,"38/4, South End Road   Basavanagudi,Bangalore,Bangalore,Karnataka,560004-India",Unlisted,Active,karnataka,Indian,74140,Business Services
U80900KA2022FTC162284,YUVIPEP EDUCATION PRIVATE LIMITED,ROC Bangalore,Company limited by shares,subsidiary of company incorporated outside India,Private,1500000,1000000,10-06-2022,"Neil Rao Towers suite No. 3C, F & G Lifts,3rd Floor, Plot No. 117, Road No. 3, EPIP Phase 1,Bangalore South,Bangalore,Karnataka,560066-India",Unlisted,Active,karnataka,Indian,80900,"Community, personal and Social Services"
